Feature	Gain	Cover	Frequency
ctrx_quarter	0.0953708596666517	0.0143591515500032	0.010634526763559
mcaja_ahorro	0.0943505924013442	0.0094687372461884	0.0065579581708614
g2_g2_tarjetas_madelantosdolares_sobre_g1_transacciones_totales_tc	0.0885621282654	0.00454097501565327	0.00460829493087558
g2_g1_consumo_total_tc_sobre_g1_monto_total_acreditaciones	0.0466438732709833	0.00548311548893484	0.00531726338177951
g1_mtotal_caja_ahorro	0.0416936697872675	0.00687936631272197	0.00531726338177951
g1_consumo_total_tc	0.033230892011122	0.0114599520167951	0.00939383197447714
mtarjeta_visa_consumo	0.0301466618917008	0.00791903759625363	0.00673520028358738
g1_numero_mes_lag_3	0.0275364384223485	0.0365717014050608	0.0379298121233605
g1_transacciones_totales_tc	0.0255413094929546	0.00352670051022504	0.00336760014179369
cdescubierto_preacordado	0.025239940452585	0.0191535336099512	0.0237504431052818
mcuentas_saldo	0.0199880093227263	0.0138472891965515	0.0116979794399149
ctarjeta_visa_transacciones	0.0156820846758684	0.00160189576295566	0.00177242112725984
g1_numero_mes	0.0153924306901638	0.0138906963484709	0.0205600850762141
g1_visa_limite_compra_sobre_sueldo	0.0134334575112398	0.00877233326544422	0.00673520028358738
g1_visa_limite_compra_sobre_sueldo_delta_lag1	0.0127778966977541	0.00775027667373775	0.0065579581708614
g2_g1_monto_total_prestamos_sobre_g1_monto_total_acreditaciones	0.0126204348784472	0.0144983023042546	0.0131159163417228
g2_g1_mtotal_caja_ahorro_sobre_g1_m_activos_pasivos_margen_absoluto	0.0121724958805409	0.00117356377752245	0.00265863169088976
foto_mes	0.0111638044813775	0.0311667142138057	0.0350939383197448
mcuenta_corriente	0.0109371664492244	0.0147811593646813	0.0193193902871322
g1_visa_abierta	0.00969042339144491	0.00625270470447131	0.0116979794399149
mpayroll	0.00956708316934822	0.00214231932905875	0.00194966323998582
g1_mtotal_cta_corriente	0.00897914149306727	0.0137691137111898	0.0170152428216944
Visa_Finiciomora	0.00869706164856056	0.0191121336708565	0.010457284650833
g2_g1_m_activos_pasivos_margen_absoluto_sobre_mcuentas_saldo	0.00827014235838277	0.00083233596311701	0.00159517901453385
g1_acreditaciones_sobre_edad	0.00816632624277855	0.00319784056682223	0.00248138957816377
g1_cant_cuentas_visa_y_master	0.00806507100984129	0.00222847525238325	0.00230414746543779
g1_m_activos_pasivos_margen_absoluto	0.00802076457129757	0.00754329229894012	0.010989010989011
g1_monto_total_prestamos	0.00761990939826517	0.0172544592229696	0.0171924849344204
g2_ctrx_quarter_sobre_g1_mtotal_caja_ahorro	0.00752661202232652	0.000443875934697434	0.00124069478908189
mautoservicio	0.00739242230137277	0.00680472540943907	0.00425381070542361
g2_g1_m_activos_pasivos_margen_absoluto_sobre_g2_limite_compra_tarjetas_credito_lag_1	0.00737350867513244	0.00374617634281127	0.0065579581708614
mprestamos_personales	0.00658146401942217	0.0124871914910365	0.0143566111308047
g1_monto_total_acreditaciones	0.00652349777445806	0.00325049078467817	0.0021269053527118
g1_cant_transacciones_por_tarjeta_debito	0.0061857898533237	0.000698156666072496	0.000354484225451967
mcuentas_saldo_lag_1	0.0060253610476242	0.00174515327546351	0.00230414746543779
g2_g1_mtotal_caja_ahorro_sobre_mcuentas_saldo	0.00565261144729225	0.00163635809143032	0.00336760014179369
g1_numero_mes_lag_1	0.00553602236188838	0.00740136094414222	0.0097483161999291
g2_g1_mtotal_caja_ahorro_sobre_g2_limite_compra_tarjetas_credito	0.00547359793400212	0.000968701418481288	0.000886210563629919
mcaja_ahorro_lag_1	0.00497947558158105	0.000136576880692344	0.000708968450903935
