Feature	Gain	Cover	Frequency
ctrx_quarter	0.0859797247105201	0.0174427496002332	0.0138248847926267
g2_g2_tarjetas_madelantosdolares_sobre_g1_transacciones_totales_tc	0.0793057653698701	0.00484534759543626	0.00496277915632754
mcaja_ahorro	0.0755800118041006	0.00993015940155819	0.00673520028358738
g1_mtotal_caja_ahorro	0.0643218365512413	0.00584335358977529	0.00425381070542361
g1_consumo_total_tc	0.0533263189674646	0.0107396147772676	0.011343495214463
g2_g1_consumo_total_tc_sobre_g1_monto_total_acreditaciones	0.0391100718313649	0.00302496433700039	0.00425381070542361
mtarjeta_visa_consumo	0.0334299350855087	0.0073765309559595	0.00673520028358738
g1_numero_mes_lag_3	0.0302107285489538	0.0382865795677465	0.0400567174760723
g1_visa_limite_compra_sobre_sueldo	0.0238336917564771	0.0122832357813113	0.0097483161999291
cdescubierto_preacordado	0.0232317733083351	0.0210971776673367	0.0239276852180078
mcaja_ahorro_lag_1	0.0164519580161808	0.000655222968331145	0.000708968450903935
mcuentas_saldo	0.0163161273496144	0.011796046592101	0.0118752215526409
g2_g1_monto_total_prestamos_sobre_g1_monto_total_acreditaciones	0.0130312948326386	0.0135179636285101	0.0132931584544488
g1_numero_mes	0.0118143017268351	0.0133616564958872	0.0191421481744062
mautoservicio	0.0106518107738029	0.006604712383432	0.00407656859269763
foto_mes	0.0104807850918271	0.0311335116326477	0.0315490960652251
g1_visa_abierta	0.0103027270180406	0.00635675396553093	0.011343495214463
g1_monto_total_prestamos	0.010270198872549	0.0165490250307799	0.0164835164835165
g1_mtotal_cta_corriente	0.00997782898177409	0.0128264633336767	0.0168380007089685
g1_transacciones_totales_tc	0.00982386774783084	0.00368107223627801	0.00425381070542361
g2_g2_tarjetas_madelantosdolares_sobre_g1_transacciones_totales_tcdelta_lag1	0.009566763289676	0.000148819922752154	0.000354484225451967
mcuenta_corriente	0.00947365243176706	0.0157546007701141	0.0179014533853244
g1_cant_cuentas_visa_y_master	0.00935804179251283	0.00463376718359558	0.00336760014179369
g2_g1_m_activos_pasivos_margen_absoluto_sobre_mcuentas_saldo	0.00924636970022486	0.00118112354855305	0.00283587380361574
g2_ctrx_quarter_sobre_g1_mtotal_caja_ahorro	0.00808895613077994	0.00118054146333176	0.00141793690180787
g2_g1_mtotal_caja_ahorro_sobre_g1_m_activos_pasivos_margen_absoluto	0.00806113278705617	0.00213067321804922	0.00389932647997164
asg1_monto_total_acreditaciones_lag3	0.00805184996937719	0.00260793306237375	0.00478553704360156
Visa_Finiciomora	0.00787507681427151	0.0212739286013921	0.0115207373271889
g2_g1_m_activos_pasivos_margen_absoluto_sobre_g2_limite_compra_tarjetas_credito_lag_1	0.00764490946083574	0.00364877568669649	0.00584898971995746
g1_acreditaciones_sobre_edad_lag_1	0.0075145705736194	0.000546059896329577	0.000531726338177951
g2_g1_mtotal_caja_ahorro_sobre_g2_limite_compra_tarjetas_credito	0.00749370298688756	0.00103887785971791	0.000886210563629919
g1_numero_mes_lag_1	0.00735429992809416	0.00742180447512961	0.011166253101737
g2_g1_monto_total_acreditaciones_sobre_g1_transacciones_totales_tc	0.00692433044241933	0.0016054640784004	0.00283587380361574
g1_m_activos_pasivos_margen_absoluto	0.00661991290021732	0.0116279504683239	0.0132931584544488
mprestamos_personales	0.00640842346075995	0.0128902407064794	0.0129386742289968
g2_g1_m_activos_pasivos_margen_absoluto_sobre_g1_consumo_total_tc	0.00635175779655265	0.000429125936183096	0.000354484225451967
g1_acreditaciones_sobre_edad	0.00625473663894533	0.00291850548968547	0.00194966323998582
g2_mcuentas_saldo_sobre_g1_monto_total_acreditaciones	0.00557267290057158	0.00075684818803896	0.000531726338177951
g1_visa_limite_compra_sobre_sueldo_delta_lag1	0.00539672738283073	0.00588096981316776	0.0054945054945055
ccaja_seguridad	0.0053050386829451	0.0255140090532931	0.0131159163417228
tcallcenter	0.00488058396696272	0.0169381862264211	0.0179014533853244
g1_master_abierta	0.00467688544428563	0.00460187456282273	0.00992555831265509
g2_g1_monto_total_prestamos_sobre_mrentabilidad_annual	0.00464759336903721	0.00479244200081872	0.00691244239631337
Visa_Finiciomora_lag_1	0.00435318531423874	0.0059903316213714	0.00319035802906771
mcuenta_debitos_automaticos	0.00433285747326181	0.0181689490341853	0.0115207373271889
g1_cantidad_total_acreditaciones_lag_1	0.00425369814264499	8.85737997044407e-05	0.000354484225451967
g1_monto_total_acreditaciones	0.00412476179736537	0.00259308454252079	0.00159517901453385
mpayroll	0.00405037495227022	0.00254866649695147	0.00194966323998582
asctarjeta_visa_lag3	0.00389628121996865	0.00188528666854184	0.00283587380361574
ctarjeta_visa_delta_lag1	0.00388598779925651	0.00508259221530064	0.00265863169088976
g1_monto_pago_servicios_totales	0.00387916457519096	0.011166648031331	0.00673520028358738
g2_ctrx_quarter_sobre_g1_monto_total_prestamos	0.00356835680075685	0.00340523708122441	0.00567174760723148
g2_mcuentas_saldo_sobre_mrentabilidad_annual	0.00347100402035865	0.000842360643180951	0.0021269053527118
g2_mpasivos_margen_sobre_g1_monto_total_prestamos	0.00345679357465385	0.00405855803313229	0.00478553704360156
g1_master_limite_compra_sobre_sueldo	0.00339264839723521	0.00336972786509916	0.00301311591634172
g2_g1_mtotal_caja_ahorro_sobre_g1_consumo_total_tc	0.00327551892598054	0.000409951827054823	0.00141793690180787
asg1_transacciones_totales_tc_lag3	0.00319009720873168	0.000891273960407255	0.0021269053527118
g1_visa_abierta_delta_lag1	0.00318609881464334	0.00546813943850387	0.00283587380361574
g2_mcuentas_saldo_sobre_g2_limite_compra_tarjetas_credito	0.00314216260069251	0.00184985997333705	0.00407656859269763
mrentabilidad_annual	0.00306028661853375	0.0162996605290288	0.0171924849344204
g2_g1_mtotal_caja_ahorro_sobre_g1_monto_total_acreditaciones	0.00305623516814218	0.00037006335279157	0.000708968450903935
g2_mpasivos_margen_sobre_g2_limite_compra_tarjetas_credito_lag_1	0.00298900480079377	0.000759942419912006	0.00141793690180787
g1_cantidad_total_acreditaciones	0.00292323830119179	0.000998022740638292	0.000531726338177951
thomebanking	0.00275631723425844	0.00774781719212239	0.0143566111308047
ctrx_quarter_delta_lag1	0.00272431924472158	0.0182691736176345	0.0127614321162708
g2_mpasivos_margen_sobre_g1_monto_total_acreditaciones	0.00269378407608634	0.000408046178904006	0.000708968450903935
mcuentas_saldo_delta_lag1	0.00252091380041188	0.0133695718460836	0.00939383197447714
Visa_delinquency	0.00245692661916849	0.00465363454916072	0.00443105281814959
g2_mcuentas_saldo_sobre_g1_monto_total_prestamos	0.00239444130268135	0.00127018964910323	0.00230414746543779
cmobile_app_trx_lag_1	0.00230729844409411	0.00262571924628979	0.00567174760723148
g2_g1_mtotal_caja_ahorro_sobre_g1_monto_total_prestamos	0.00228908245077544	0.00503522238228331	0.0065579581708614
g1_visa_en_proceso_cierre	0.00221669587846198	0.00479670423662454	0.00248138957816377
g1_mtotal_cta_corriente_delta_lag1	0.0022007796231292	0.00883840136931559	0.00850762141084722
ctarjeta_visa_transacciones	0.00219062190064306	0.000984786707817766	0.00124069478908189
asg1_m_activos_pasivos_margen_absoluto_lag2	0.00215001593066121	0.00730826698729344	0.00602623183268345
g2_g1_m_activos_pasivos_margen_absoluto_sobre_g1_monto_total_acreditaciones_delta_lag1	0.00210538097333824	0.00381097872723496	0.00230414746543779
g2_g1_mtotal_caja_ahorro_sobre_g2_limite_compra_tarjetas_credito_lag_1	0.00208327827895836	0.000736730435035475	0.000886210563629919
g2_g1_consumo_total_tc_sobre_g1_monto_total_prestamos_lag_1	0.00200635513061961	0.00784122139123167	0.00779865295994328
g1_monto_total_debitado_tc	0.00199826979557249	0.00309410799078424	0.00301311591634172
ctarjeta_debito_transacciones	0.00198202705570782	0.000641159305154384	0.000354484225451967
asmautoservicio_lag3	0.00195868093722276	0.000579297265109329	0.00159517901453385
internet_lag_1	0.00193514453599047	0.013212858565263	0.00708968450903935
g1_c_cuentas	0.00181509621787894	0.0134465723388977	0.00691244239631337
g2_g1_m_activos_pasivos_margen_absoluto_sobre_mrentabilidad_annual	0.00179523362951038	0.00162123525881384	0.0021269053527118
asg1_mtotal_cta_corriente_lag3	0.00177041107598177	0.00285646953024327	0.00425381070542361
g2_g1_monto_total_acreditaciones_sobre_g2_limite_compra_tarjetas_credito	0.00175131505868678	0.000833872085319526	0.00124069478908189
g1_transacciones_totales_tc_delta_lag1	0.00172481754830143	0.00955179311253555	0.00584898971995746
chomebanking_transacciones	0.00167945311040592	0.013019851211641	0.0118752215526409
cpayroll_trx	0.0016473232658895	0.000344783906125583	0.000177242112725984
g2_ctrx_quarter_sobre_g1_monto_total_acreditaciones	0.00157828490984278	0.00279193554753424	0.00230414746543779
mpayroll_lag_1	0.00152542416123643	4.82918882898813e-05	0.000177242112725984
ccaja_ahorro	0.00150141937305263	0.0105023298048749	0.0054945054945055
asg2_g1_m_activos_pasivos_margen_absoluto_sobre_mcuentas_saldo_lag2	0.00149926578161913	0.00120987230384299	0.00230414746543779
g2_g2_tarjetas_madelantosdolares_sobre_g1_transacciones_totales_tc_lag_3	0.00148466558718142	0.00481399247034088	0.00726692662176533
g2_g1_m_activos_pasivos_margen_absoluto_sobre_g1_monto_total_prestamos	0.00144650988517477	0.00188440779047462	0.0021269053527118
cliente_edad_lag_1	0.00142178990695938	0.0136298692601002	0.0115207373271889
g2_ctrx_quarter_sobre_mcuentas_saldo	0.00138677767509098	0.00167289960965966	0.00354484225451967
mcomisiones_mantenimiento	0.00138184651131972	0.00884993634130398	0.00744416873449132
cproductos	0.0013626394624343	0.00686270102753969	0.00407656859269763
asg1_visa_limite_compra_sobre_sueldo_lag3	0.0013449630255201	0.00675411580374394	0.00673520028358738
g2_g1_m_activos_pasivos_margen_absoluto_sobre_g2_limite_compra_tarjetas_credito	0.00134165479057326	0.00367622609938712	0.00886210563629919
g2_g2_tarjetas_madelantosdolares_sobre_mrentabilidad_annual_lag_1	0.00128925392775433	0.00135137227795443	0.0021269053527118
mactivos_margen	0.00126268119932497	0.00977129331335072	0.00957107408720312
g2_mrentabilidad_annual_sobre_g2_limite_compra_tarjetas_credito_lag_1	0.00125955239326914	0.00137936301099952	0.00336760014179369
g1_dinero_prom_por_inversion	0.00121744157277899	0.0116676690584428	0.00620347394540943
internet	0.00117994946306663	0.0202671039655098	0.010634526763559
mpasivos_margen	0.00117095078094523	0.00173423625978574	0.0021269053527118
tmobile_app	0.00115548723826857	0.00967755822350906	0.0076214108472173
g2_ctrx_quarter_sobre_g1_m_activos_pasivos_margen_absoluto_lag_1	0.00115056479596832	0.000931603689567896	0.0021269053527118
asg1_monto_total_acreditaciones_lag2	0.00108102474896194	0.000314241480950961	0.000708968450903935
g1_monto_total_comisiones	0.00106236311963743	0.00306398099488887	0.00443105281814959
g1_m_activos_pasivos_margen_neto	0.00102398413012133	0.00230228445056997	0.00407656859269763
g1_numero_mes_delta_lag1	0.000981229754947502	0.0101900359387042	0.00567174760723148
mpagomiscuentas	0.000981051796489074	0.0046413494236705	0.00283587380361574
g2_g1_m_activos_pasivos_margen_absoluto_sobre_mcuentas_saldo_lag_1	0.000961474035555311	0.000515263451989061	0.00141793690180787
asg2_g1_mtotal_caja_ahorro_sobre_g1_m_activos_pasivos_margen_absoluto_lag3	0.000922600738714877	0.00456038086498214	0.00389932647997164
mrentabilidad	0.00085751978522361	0.00239922151353534	0.00319035802906771
ccajas_consultas	0.000845223052319839	0.0117226528082698	0.00602623183268345
g1_visa_consumo_total	0.000829644910834898	0.000444737522346948	0.000531726338177951
g1_monto_prom_trx_tarjeta_debito	0.000822736405807066	0.000344783906125583	0.000177242112725984
asmcuentas_saldo_lag3	0.00082028454924873	0.000567528046693931	0.00159517901453385
asg2_g1_m_activos_pasivos_margen_absoluto_sobre_mcuentas_saldo_lag3	0.000802617960621247	0.0006896362097867	0.00177242112725984
g2_mpasivos_margen_sobre_mrentabilidad_annual	0.000780839297988525	0.00040830362803481	0.000886210563629919
mtarjeta_visa_consumo_lag_3	0.000777468202822678	0.000257402927158847	0.000708968450903935
asg1_consumo_total_tc_lag3	0.000763336856587957	7.78311496099914e-05	0.000354484225451967
cliente_edad	0.000733302297499499	0.00499892467775431	0.00496277915632754
g2_ctrx_quarter_sobre_g1_m_activos_pasivos_margen_absoluto	0.000732913040974544	0.000669755124361925	0.00248138957816377
g1_numero_mes_lag_2	0.000707400289092893	0.00101146275548957	0.0021269053527118
ctarjeta_visa	0.000704313398620742	0.00327238364512285	0.00336760014179369
mcomisiones_mantenimiento_lag_1	0.000684920383352645	0.00581058188917257	0.00567174760723148
g2_ctrx_quarter_sobre_g1_monto_total_prestamos_lag_1	0.000683525783815649	0.00192899995720372	0.00248138957816377
asg2_g1_mtotal_caja_ahorro_sobre_g1_m_activos_pasivos_margen_absoluto_lag2	0.000671472064919366	0.00236011345717016	0.00407656859269763
mcomisiones	0.00065266615159041	0.00199749817229679	0.00283587380361574
Visa_status	0.000649237421142663	0.00186616925471589	0.0021269053527118
g2_g1_monto_total_prestamos_sobre_g1_monto_total_acreditaciones_delta_lag1	0.000637297484319651	0.00161680011242408	0.00141793690180787
mcomisiones_otras	0.000631578789361248	0.00187565573060314	0.00265863169088976
g2_mpasivos_margen_sobre_mcuentas_saldo_lag_1	0.000607380632585548	0.000251099862232272	0.000708968450903935
g1_mtotal_caja_ahorro_lag_3	0.000595641571815667	0.000209947143256153	0.000531726338177951
Visa_mconsumosdolares	0.000577149787257383	0.00109611610530322	0.00177242112725984
g2_g1_mtotal_caja_ahorro_sobre_g1_monto_total_prestamos_lag_1	0.000574520929311651	0.00387683021999427	0.00443105281814959
asg1_visa_limite_compra_sobre_sueldo_lag2	0.000566517556692655	0.00189843493461323	0.00265863169088976
g2_ctrx_quarter_sobre_g1_monto_total_acreditaciones_delta_lag1	0.000562629430601687	0.00193543719428703	0.00177242112725984
Master_mpagospesos	0.000560107771318785	0.00745774606859601	0.00584898971995746
ccajas_transacciones	0.000548881498889065	0.00511515105631637	0.00496277915632754
Master_status	0.000538533895573924	0.000616952630454293	0.00124069478908189
g2_ctrx_quarter_sobre_mpasivos_margen_lag_1	0.000535956344890572	0.000685858809608872	0.000886210563629919
ctrx_quarter_lag_3	0.000531926381388591	0.00229179077557537	0.00283587380361574
mtarjeta_master_consumo	0.000530012686129563	0.00260810738529617	0.0021269053527118
ccaja_seguridad_lag_1	0.000524527947829879	0.00137740833452677	0.000708968450903935
g2_g1_transacciones_totales_tc_sobre_mrentabilidad_annual_lag_1	0.000521505413290443	0.000504806296032611	0.000886210563629919
g2_g1_monto_total_prestamos_sobre_mrentabilidad_annual_lag_1	0.000521474688472636	0.000482113849958446	0.00141793690180787
g1_monto_total_plazos_fijos	0.000521148758577588	0.00614336192693046	0.00319035802906771
asg2_ctrx_quarter_sobre_g1_mtotal_caja_ahorro_lag3	0.000510511067806536	0.00453448584049634	0.00407656859269763
g2_g1_mtotal_caja_ahorro_sobre_g1_transacciones_totales_tc	0.000506366135566393	0.00145917446093776	0.00194966323998582
g2_mrentabilidad_annual_sobre_g2_limite_compra_tarjetas_credito	0.000489194780893737	0.00137409660252598	0.00265863169088976
g2_g1_m_activos_pasivos_margen_absoluto_sobre_g1_monto_total_prestamos_lag_1	0.000487038967817185	0.00286508479504368	0.00319035802906771
g2_mpasivos_margen_sobre_g1_monto_total_prestamos_lag_1	0.000467234328422811	0.00173587013365819	0.00194966323998582
g2_g1_monto_total_prestamos_sobre_g2_limite_compra_tarjetas_credito	0.000460250346864407	0.000779563836816919	0.00159517901453385
g2_g2_tarjetas_madelantosdolares_sobre_g1_transacciones_totales_tc_lag_2	0.000458791526571306	0.00134941296094092	0.00248138957816377
Master_delinquency	0.000452733202961536	0.00133766129587535	0.00141793690180787
g1_mcomisiones_rentabilidad_lag_1	0.000447288429471633	0.000342769104385609	0.000531726338177951
Visa_madelantodolares_lag_1	0.000415629904516826	0.000358641569645173	0.000886210563629919
g2_g1_consumo_total_tc_sobre_g1_monto_total_prestamos	0.000403361446741772	0.000412232148431268	0.0010634526763559
mplazo_fijo_dolares	0.000402011094326992	0.00339643821242005	0.00177242112725984
g2_mcuentas_saldo_sobre_g2_limite_compra_tarjetas_credito_lag_1	0.000394413584318254	0.00114454357808832	0.00159517901453385
mrentabilidad_lag_1	0.000383163006927792	3.50911639316525e-05	0.000177242112725984
ascdescubierto_preacordado_lag3	0.000382346745035801	0.00535818787809855	0.00460829493087558
g1_visa_limite_compra_sobre_sueldo_lag_1	0.000374183152534739	0.000239240657678678	0.000177242112725984
g2_g1_m_activos_pasivos_margen_absoluto_sobre_g1_monto_total_acreditaciones	0.000359937043422418	0.00137132055033889	0.00141793690180787
ctarjeta_master	0.000357350241912324	0.00110863810013479	0.0010634526763559
g2_g1_consumo_total_tc_sobre_mrentabilidad_annual	0.000340440602569906	0.00014128913215086	0.000531726338177951
g2_g1_consumo_total_tc_sobre_g2_limite_compra_tarjetas_credito	0.00032278580784362	0.000842058806268974	0.00230414746543779
mttarjeta_visa_debitos_automaticos_lag_1	0.00031490665994894	0.00323935651301574	0.00354484225451967
g2_ctrx_quarter_sobre_g1_consumo_total_tc	0.000304191727612274	0.00044096254332082	0.000886210563629919
g1_cons_prom_visa	0.000294535593413483	0.000982361722627225	0.00248138957816377
g1_montos_transferencias_totales_absolutas	0.000293899186579982	0.000844399051150003	0.00159517901453385
g2_g1_mtotal_caja_ahorro_sobre_mcuentas_saldo	0.000293438498503911	0.00233350903523616	0.00301311591634172
g2_g1_monto_total_prestamos_sobre_g2_limite_compra_tarjetas_credito_lag_1	0.000284520581826902	0.000333032644585296	0.00141793690180787
Master_mfinanciacion_limite	0.00028298372490271	3.15788798650126e-05	0.000177242112725984
g2_mpasivos_margen_sobre_mcuentas_saldo	0.000276381570831098	0.00250971460487096	0.00319035802906771
cmobile_app_trx	0.000273073816225571	0.000845685086228172	0.00177242112725984
g2_g1_monto_total_acreditaciones_sobre_mrentabilidad_annual	0.000266472642958289	0.000933376577900477	0.00124069478908189
g2_mcuentas_saldo_sobre_g1_monto_total_acreditaciones_lag_1	0.00026337187830979	0.0013761977586766	0.00159517901453385
Master_fultimo_cierre	0.0002505001753096	0.000334272274255875	0.000531726338177951
Visa_mfinanciacion_limite	0.000246320767874652	0.00199443783654755	0.00124069478908189
g2_g1_monto_total_acreditaciones_sobre_mrentabilidad_annual_lag_1	0.000241847171250798	0.000180160722699966	0.000531726338177951
g1_monto_debitos_en_tc_lag_1	0.000223405754941806	0.00221378227660333	0.00248138957816377
g1_consumo_total_tc_delta_lag1	0.000221933259625682	0.000904900403939462	0.000886210563629919
Visa_delinquency_lag_1	0.000219863284727971	0.00151859154129074	0.00159517901453385
g2_mpasivos_margen_sobre_g1_m_activos_pasivos_margen_absoluto_lag_1	0.00020194794895375	0.000293067500518199	0.000531726338177951
g2_ctrx_quarter_sobre_mpasivos_margen	0.000200878451226084	8.80288388092204e-05	0.000354484225451967
g2_g1_transacciones_totales_tc_sobre_g2_limite_compra_tarjetas_credito	0.000197625963216144	0.000814144944790365	0.00177242112725984
Visa_mpagominimo	0.000196356332906698	0.00230844043053075	0.00283587380361574
g2_mpasivos_margen_sobre_g1_m_activos_pasivos_margen_absoluto	0.000192449535417574	0.000179703730316525	0.000531726338177951
g1_cant_inversiones_totales	0.000189610337508231	0.00310305515513024	0.00159517901453385
g2_mcuentas_saldo_sobre_g1_monto_total_prestamos_lag_1	0.000189389609583347	0.000938727928446174	0.00141793690180787
g1_rentabilidad_mensual_lag_1	0.000187919767237168	0.000249867294254152	0.000531726338177951
g2_limite_compra_tarjetas_credito	0.000187731976486202	0.00194510888827935	0.00159517901453385
Visa_mconsumosdolares_lag_1	0.000187069066782201	0.000234653180494441	0.000708968450903935
Master_madelantopesos	0.000186700773466467	0.000315426836470924	0.000354484225451967
mcomisiones_lag_1	0.000185756485394977	2.27836427882108e-05	0.000177242112725984
Visa_cadelantosefectivo_lag_1	0.000185330714159428	0.000165541606970616	0.000354484225451967
asmautoservicio_lag2	0.000183611094331821	3.09221424662929e-05	0.000177242112725984
g2_mcuentas_saldo_sobre_g1_monto_total_acreditaciones_delta_lag1	0.000182807880078283	0.00071794996482115	0.000886210563629919
asg2_ctrx_quarter_sobre_g1_mtotal_caja_ahorro_lag2	0.000178824348193802	0.00149096135808636	0.00159517901453385
cliente_antiguedad	0.00016509750248442	0.00101649068052063	0.00194966323998582
g2_ctrx_quarter_sobre_g1_consumo_total_tc_delta_lag1	0.000158653257393982	0.00124612965584365	0.00177242112725984
Master_mpagosdolares_lag_1	0.00015795516410783	0.000621464648410535	0.00159517901453385
Master_cconsumos	0.000156157530866489	0.000353851522768674	0.000531726338177951
g2_g1_mtotal_caja_ahorro_sobre_mpasivos_margen	0.000152832890019556	0.00315276725065502	0.00265863169088976
g1_cantidad_debitos_en_tc_lag_1	0.000152684814362802	0.00167355977702329	0.0021269053527118
g2_g1_monto_total_prestamos_sobre_g1_transacciones_totales_tc	0.000146710596917073	0.000271275722876565	0.0010634526763559
asctarjeta_visa_lag2	0.000146549358051025	7.72002378294087e-05	0.000177242112725984
mcaja_ahorro_dolares_lag_1	0.000143916482470723	0.00147039448144246	0.00194966323998582
g2_ctrx_quarter_sobre_mrentabilidad_annual_lag_1	0.00014338840627517	0.00124267628646838	0.00124069478908189
g2_g1_m_activos_pasivos_margen_absoluto_sobre_mrentabilidad_annual_lag_1	0.000143340854549201	4.43238224156507e-05	0.000354484225451967
tcuentas_lag_1	0.000142680403305291	0.00174101689688521	0.00141793690180787
g2_g1_transacciones_totales_tc_sobre_mrentabilidad_annual	0.000135526988701793	0.000146653193742983	0.000531726338177951
ctarjeta_visa_debitos_automaticos_lag_1	0.000132600270129169	0.00166245657708813	0.00177242112725984
ccomisiones_mantenimiento_lag_1	0.000132205706116502	0.00309140820487571	0.00159517901453385
g2_ctrx_quarter_sobre_g1_transacciones_totales_tc	0.000130572661231851	0.00101576958083921	0.00124069478908189
g2_g1_monto_total_acreditaciones_sobre_g1_transacciones_totales_tc_lag_1	0.000129474530828176	0.000338928754263571	0.000886210563629919
g2_ctrx_quarter_sobre_mcuentas_saldo_lag_1	0.000128878588751534	0.000576151382000008	0.00124069478908189
asg2_ctrx_quarter_sobre_g1_monto_total_acreditaciones_lag3	0.000128824315858808	0.00181272737499672	0.00141793690180787
asg2_mcuentas_saldo_sobre_g1_monto_total_acreditaciones_lag3	0.000128300614845115	0.000626424579431342	0.000886210563629919
chomebanking_transacciones_lag_1	0.000127060019645859	0.000383158151762909	0.00124069478908189
Master_madelantodolares_lag_1	0.000126073559567889	0.000905833959682588	0.000886210563629919
g2_g1_m_activos_pasivos_margen_absoluto_sobre_mcuentas_saldo_delta_lag1	0.000125960632409282	0.000991273174985643	0.00141793690180787
g2_g1_mtotal_caja_ahorro_sobre_g1_m_activos_pasivos_margen_absoluto_lag_1	0.000124668404904654	2.40147984278384e-05	0.000177242112725984
g2_g1_mtotal_caja_ahorro_sobre_mrentabilidad_annual_lag_1	0.000120764810894795	0.000319314399051118	0.000531726338177951
asg2_ctrx_quarter_sobre_g1_consumo_total_tc_lag3	0.000119345979660715	0.000260733221322678	0.000354484225451967
mrentabilidad_annual_lag_1	0.000119344650596036	0.000301106329451283	0.000531726338177951
mtransferencias_emitidas	0.000116753599793748	0.001611317212636	0.00141793690180787
g1_cantidad_descuentos_totales_tc	0.000112824037428533	0.00342386542240689	0.00177242112725984
g1_deuda_promedio_prestamo	0.000110168440311207	0.00141654746233877	0.0010634526763559
mtransferencias_emitidas_lag_1	0.000109801741769899	0.00169717286603151	0.00141793690180787
g2_g1_transacciones_totales_tc_sobre_g2_limite_compra_tarjetas_credito_lag_1	0.000107677512037406	0.000160511260787857	0.000886210563629919
mcuentas_saldo_lag_1	0.000104530674866524	0.000513956030070872	0.000886210563629919
Master_cadelantosefectivo	9.83217841196697e-05	0.000414235853225949	0.000531726338177951
g1_monto_total_acreditaciones_lag_1	9.60485448767479e-05	0.000202371157823119	0.000354484225451967
asg2_g1_m_activos_pasivos_margen_absoluto_sobre_g1_monto_total_acreditaciones_lag2	9.59929996728819e-05	0.000393234581614478	0.000531726338177951
g1_dinero_prom_por_plazo_fijo	9.5773112216306e-05	0.00137913562450233	0.000708968450903935
cseguro_vivienda	9.47956578929804e-05	0.00379262296738141	0.00194966323998582
g2_mpasivos_margen_sobre_g1_monto_total_acreditaciones_lag_1	9.43417833371523e-05	0.000764554310375888	0.000886210563629919
g2_g2_tarjetas_madelantosdolares_sobre_mrentabilidad_annual	9.3890412128304e-05	0.000154368395398788	0.000354484225451967
Master_mpagosdolares	9.32537137879925e-05	0.000263773986095674	0.000708968450903935
g1_cantidad_interacciones_con_linea_caja	9.31309558846705e-05	0.00137913562450233	0.000708968450903935
Master_mpagominimo_lag_1	9.30743653838174e-05	0.000432603920600648	0.0010634526763559
asmcuentas_saldo_lag2	9.26797895045013e-05	0.000518693416897889	0.000886210563629919
asg2_mcuentas_saldo_sobre_g1_monto_total_acreditaciones_lag2	9.20327940085789e-05	0.000567487290640309	0.000708968450903935
ascdescubierto_preacordado_lag2	8.98908128011912e-05	0.00105434316796653	0.000886210563629919
g2_g1_consumo_total_tc_sobre_g2_limite_compra_tarjetas_credito_lag_1	8.98233503861667e-05	0.00031834977186117	0.000708968450903935
g2_mpasivos_margen_sobre_g2_limite_compra_tarjetas_credito	8.96510827598053e-05	0.000174127414425337	0.000886210563629919
ctrx_quarter_lag_2	8.83270670824397e-05	0.00212856257905444	0.00177242112725984
asg2_g1_consumo_total_tc_sobre_g1_monto_total_acreditaciones_lag3	8.50975926322765e-05	0.000141748949211285	0.000177242112725984
mtransferencias_recibidas	8.43955859316892e-05	0.0018721057169225	0.00159517901453385
g1_cantidad_comisiones_totales_lag_1	8.19730554744122e-05	0.00033287123447194	0.000708968450903935
g2_g1_mtotal_caja_ahorro_sobre_g1_monto_total_acreditaciones_lag_1	8.03158800171621e-05	0.00061164344830071	0.000708968450903935
asg1_mtotal_cta_corriente_lag2	7.76059419028639e-05	0.000567777021793784	0.000886210563629919
Master_madelantodolares	7.60294730727102e-05	0.000297111630908349	0.000354484225451967
mtarjeta_visa_consumo_delta_lag1	7.60093183434396e-05	0.000312428441852683	0.000531726338177951
g1_montos_transferencias_totales_netas	7.45683573569555e-05	0.000702915823337832	0.00124069478908189
